codigo_CIE_10,Descripcion Codigo Cie X,Codigo_dx_agrupado,Cod_capitulo_dx,Codigo _sub_grupo_dx,cod_sexo,Edad Minima,Edad maxima
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,A04,I,A0,A,0,999
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,A04,I,A0,A,0,999
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,A04,I,A0,A,0,999
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,A04,I,A0,A,0,999
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,A04,I,A0,A,0,999
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,A04,I,A0,A,0,999
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,A04,I,A0,A,0,999
A049,INFECCION INTESTINAL BACTERIANA NO ESPECIFICADA,A04,I,A0,A,0,999
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,A05,I,A0,A,0,999
A051,BOTULISMO,A05,I,A0,A,0,999
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],A05,I,A0,A,0,999
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,A05,I,A0,A,0,999
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,A05,I,A0,A,0,999
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,A05,I,A0,A,0,999
A059,INTOXICACION ALIMENTARIA BACTERIANA NO ESPECIFICADA,A05,I,A0,A,0,999
A060,DISENTERIA AMEBIANA AGUDA,A06,I,A0,A,0,999
A061,AMEBIASIS INTESTINAL CRONICA,A06,I,A0,A,0,999
A062,COLITIS AMEBIANA NO DISENTERICA,A06,I,A0,A,0,999
A063,AMEBOMA INTESTINAL,A06,I,A0,A,0,999
A064,ABSCESO AMEBIANO DEL HIGADO,A06,I,A0,A,0,999
A065,ABSCESO AMEBIANO DEL PULMON J998*,A06,I,A0,A,0,999
A066,ABSCESO AMEBIANO DEL CEREBRO G07*,A06,I,A0,A,0,999
A067,AMEBIASIS CUTANEA,A06,I,A0,A,0,999
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,A06,I,A0,A,0,999
A069,AMEBIASIS NO ESPECIFICADA,A06,I,A0,A,0,999
A070,BALANTIDIASIS,A07,I,A0,A,0,999
A071,GIARDIASIS [LAMBLIASIS],A07,I,A0,A,0,999
A072,CRIPTOSPORIDIOSIS,A07,I,A0,A,0,999
A073,ISOSPORIASIS,A07,I,A0,A,0,999
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,A07,I,A0,A,0,999
A079,ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS NO ESPECIFICADA,A07,I,A0,A,0,999
A080,ENTERITIS DEBIDA A ROTAVIRUS,A08,I,A0,A,0,999
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,A08,I,A0,A,0,999
A082,ENTERITIS DEBIDA A ADENOVIRUS,A08,I,A0,A,0,999
A083,OTRAS ENTERITIS VIRALES,A08,I,A0,A,0,999
A084,INFECCION INTESTINAL VIRAL SIN OTRA ESPECIFICACION,A08,I,A0,A,0,999
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,A08,I,A0,A,0,999
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,A09,I,A0,A,0,999
A150,TUBERCULOSIS DEL PULMON CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO CON O SIN CULTIVO,A15,I,A1,A,0,999
A151,TUBERCULOSIS DEL PULMON CONFIRMADA UNICAMENTE POR CULTIVO,A15,I,A1,A,0,999
A152,TUBERCULOSIS DEL PULMON CONFIRMADA HISTOLOGICAMENTE,A15,I,A1,A,0,999
A153,TUBERCULOSIS DEL PULMON  CONFIRMADA POR MEDIOS NO ESPECIFICADOS,A15,I,A1,A,0,999
A154,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A155,TUBERCULOSIS DE LARINGE TRAQUEA Y BRONQUIOS CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A156,PLEURESIA TUBERCULOSA CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A157,TUBERCULOSIS RESPIRATORIA PRIMARIA CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A158,OTRAS TUBERCULOSIS RESPIRATORIAS CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A159,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE,A15,I,A1,A,0,999
A160,TUBERCULOSIS DEL PULMON CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS,A16,I,A1,A,0,999
A161,TUBERCULOSIS DEL PULMON SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO,A16,I,A1,A,0,999
A162,TUBERCULOSIS DE PULMON SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A16,I,A1,A,0,999
A163,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A16,I,A1,A,0,999
A164,TUBERCULOSIS DE LARINGE TRAQUEA Y BRONQUIOS SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A16,I,A1,A,0,999
A165,PLEURESIA TUBERCULOSA SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA,A16,I,A1,A,0,999
A167,TUBERCULOSIS RESPIRATORIA PRIMARIA SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA,A16,I,A1,A,0,999
A168,OTRAS TUBERCULOSIS RESPIRATORIAS SIN MENCION DE CONFIRMACION,A16,I,A1,A,0,999
A169,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A16,I,A1,A,0,999
A170,MENINGITIS TUBERCULOSA G01*,A17,I,A1,A,0,999
A171,TUBERCULOMA MENINGEO G07*,A17,I,A1,A,0,999
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,A17,I,A1,A,0,999
A179,TUBERCULOSIS DEL SISTEMA NERVIOSO NO ESPECIFICADA G998*,A17,I,A1,A,0,999
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,A18,I,A1,A,0,999
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,A18,I,A1,A,0,999
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,A18,I,A1,A,0,999
A183,TUBERCULOSIS DE LOS INTESTINOS EL PERITONEO Y LOS GANGLIOS MESENTERICOS,A18,I,A1,A,0,999
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,A18,I,A1,A,0,999
A185,TUBERCULOSIS DEL OJO,A18,I,A1,A,0,999
A186,TUBERCULOSIS DEL OIDO,A18,I,A1,A,0,999
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES E351*,A18,I,A1,A,0,999
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,A18,I,A1,A,0,999
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,A19,I,A1,A,0,999
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,A19,I,A1,A,0,999
A192,TUBERCULOSIS MILIAR AGUDA NO ESPECIFICADA,A19,I,A1,A,0,999
A198,OTRAS TUBERCULOSIS MILIARES,A19,I,A1,A,0,999
A199,TUBERCULOSIS MILIAR SIN OTRA ESPECIFICACION,A19,I,A1,A,0,999
A200,PESTE BUBONICA,A20,I,A2,A,0,999
A201,PESTE CELULOCUTANEA,A20,I,A2,A,0,999
A202,PESTE NEUMONICA,A20,I,A2,A,0,999
A203,MENINGITIS POR PESTE,A20,I,A2,A,0,999
A207,PESTE SEPTICEMICA,A20,I,A2,A,0,999
A208,OTRAS FORMAS DE PESTE,A20,I,A2,A,0,999
A209,PESTE NO ESPECIFICADA,A20,I,A2,A,0,999
A210,TULAREMIA ULCEROGLANDULAR,A21,I,A2,A,0,999
A211,TULAREMIA OCULOGLANDULAR,A21,I,A2,A,0,999
A212,TULAREMIA PULMONAR,A21,I,A2,A,0,999
A213,TULAREMIA GASTROINTESTINAL,A21,I,A2,A,0,999
A217,TULAREMIA GENERALIZADA,A21,I,A2,A,0,999
A218,OTRAS FORMAS DE TULAREMIA,A21,I,A2,A,0,999
A219,TULAREMIA  NO ESPECIFICADA,A21,I,A2,A,0,999
A220,CARBUNCO CUTANEO,A22,I,A2,A,0,999
A221,CARBUNCO PULMONAR,A22,I,A2,A,0,999
A222,CARBUNCO GASTROINTESTINAL,A22,I,A2,A,0,999
A227,CARBUNCO SEPTICEMICO,A22,I,A2,A,0,999
A228,OTRAS FORMAS DE CARBUNCO,A22,I,A2,A,0,999
A229,CARBUNCO NO ESPECIFICADO,A22,I,A2,A,0,999
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,A23,I,A2,A,0,999
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,A23,I,A2,A,0,999
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,A23,I,A2,A,0,999
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,A23,I,A2,A,0,999
A238,OTRAS BRUCELOSIS,A23,I,A2,A,0,999
A239,BRUCELOSIS NO ESPECIFICADA,A23,I,A2,A,0,999
A240,MUERMO,A24,I,A2,A,0,999
A241,MELIOIDOSIS AGUDA Y FULMINANTE,A24,I,A2,A,0,999
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,A24,I,A2,A,0,999
A243,OTRAS MELIOIDOSIS,A24,I,A2,A,0,999
A244,MELIOIDOSIS  NO ESPECIFICADA,A24,I,A2,A,0,999
A250,ESPIRILOSIS,A25,I,A2,A,0,999
A251,ESTREPTOBACILOSIS,A25,I,A2,A,0,999
A259,FIEBRE POR MORDEDURA DE RATA NO ESPECIFICADA,A25,I,A2,A,0,999
A260,ERISIPELOIDE CUTANEO,A26,I,A2,A,0,999
A267,SEPTICEMIA POR ERYSIPELOTHRIX,A26,I,A2,A,0,999
A268,OTRAS FORMAS DE ERISIPELOIDE,A26,I,A2,A,0,999
A269,ERISIPELOIDE NO ESPECIFICADA,A26,I,A2,A,0,999
A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,A27,I,A2,A,0,999
A278,OTRAS FORMAS DE LEPTOSPIROSIS,A27,I,A2,A,0,999
A279,LEPTOSPIROSIS NO ESPECIFICADA,A27,I,A2,A,0,999
A280,PASTEURELOSIS,A28,I,A2,A,0,999
A281,ENFERMEDAD POR RASGUÑO DE GATO,A28,I,A2,A,0,999
A282,YERSINIOSIS EXTRAINTESTINAL,A28,I,A2,A,0,999
A288,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS NO CLASIFICADAS EN OTRA PARTE,A28,I,A2,A,0,999
A289,ENFERMEDAD ZOONOTICA BACTERIANA SIN OTRA ESPECIFICACION,A28,I,A2,A,0,999
A300,LEPRA INDETERMINADA,A30,I,A3,A,2,999
A301,LEPRA TUBERCULOIDE,A30,I,A3,A,2,999
A302,LEPRA TUBERCULOIDE LIMITROFE,A30,I,A3,A,2,999
A303,LEPRA LIMITROFE,A30,I,A3,A,2,999
A304,LEPRA LEPROMATOSA LIMITROFE,A30,I,A3,A,2,999
A305,LEPRA LEPROMATOSA,A30,I,A3,A,2,999
A308,OTRAS FORMAS DE LEPRA,A30,I,A3,A,2,999
A309,LEPRA NO ESPECIFICADA,A30,I,A3,A,2,999
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,A31,I,A3,A,0,999
A311,INFECCION CUTANEA POR MICOBACTERIAS,A31,I,A3,A,0,999
A318,OTRAS INFECCIONES POR MICOBACTERIAS,A31,I,A3,A,0,999
A319,INFECCION POR MICOBACTERIA NO ESPECIFICADA,A31,I,A3,A,0,999
A320,LISTERIOSIS CUTANEA,A32,I,A3,A,0,999
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,A32,I,A3,A,0,999
A327,SEPTICEMIA LISTERIANA,A32,I,A3,A,0,999
A328,OTRAS FORMAS DE LISTERIOSIS,A32,I,A3,A,0,999
A329,LISTERIOSIS NO ESPECIFICADA,A32,I,A3,A,0,999
A33X,TETANOS NEONATAL,A33,I,A3,A,0,999
A34X,TETANOS OBSTETRICO,A34,I,A3,F,10,54
A35X,OTROS TETANOS,A35,I,A3,A,0,999
A360,DIFTERIA FARINGEA,A36,I,A3,A,0,999
A361,DIFTERIA NASOFARINGEA,A36,I,A3,A,0,999
A362,DIFTERIA LARINGEA,A36,I,A3,A,0,999
A363,DIFTERIA CUTANEA,A36,I,A3,A,0,999
A368,OTRAS DIFTERIAS,A36,I,A3,A,0,999
A369,DIFTERIA NO ESPECIFICADA,A36,I,A3,A,0,999
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,A37,I,A3,A,0,999
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,A37,I,A3,A,0,999
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,A37,I,A3,A,0,999
A379,TOS FERINA NO ESPECIFICADA,A37,I,A3,A,0,999
A38X,ESCARLATINA,A38,I,A3,A,0,999
A390,MENINGITIS MENINGOCOCICA G01*,A39,I,A3,A,0,999
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN E351*,A39,I,A3,A,0,999
A392,MENINGOCOCEMIA AGUDA,A39,I,A3,A,0,999
A393,MENINGOCOCEMIA CRONICA,A39,I,A3,A,0,999
A394,MENINGOCOCEMIA NO ESPECIFICADA,A39,I,A3,A,0,999
A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,A39,I,A3,A,0,999
A398,OTRAS INFECCIONES MENINGOCOCICAS,A39,I,A3,A,0,999
A399,INFECCION MENINGOCOCICA NO ESPECIFICADA,A39,I,A3,A,0,999
A400,SEPTICEMIA DEBIDA A ESTREPTOCOCO GRUPO A,A40,I,A4,A,0,999
A401,SEPTICEMIA DEBIDA A ESTREPTOCOCO GRUPO B,A40,I,A4,A,0,999
A402,SEPTICEMIA DEBIDA A ESTREPTOCOCO GRUPO D,A40,I,A4,A,0,999
A403,SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE,A40,I,A4,A,0,999
A408,OTRAS SEPTICEMIAS ESTREPTOCOCICAS,A40,I,A4,A,0,999
A409,SEPTICEMIA ESTREPTOCOCICA NO ESPECIFICADA,A40,I,A4,A,0,999
A410,SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS,A41,I,A4,A,0,999
A411,SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,A41,I,A4,A,0,999
A412,SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,A41,I,A4,A,0,999
A413,SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE,A41,I,A4,A,0,999
A414,SEPTICEMIA DEBIDA A ANAEROBIOS,A41,I,A4,A,0,999
A415,SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,A41,I,A4,A,0,999
A418,OTRAS SEPTICEMIAS ESPECIFICADAS,A41,I,A4,A,0,999
A419,SEPTICEMIA NO ESPECIFICADA,A41,I,A4,A,0,999
A420,ACTINOMICOSIS PULMONAR,A42,I,A4,A,0,999
A421,ACTINOMICOSIS ABDOMINAL,A42,I,A4,A,0,999
A422,ACTINOMICOSIS CERVICOFACIAL,A42,I,A4,A,0,999
A427,SEPTICEMIA ACTINOMICOTICA,A42,I,A4,A,0,999
A428,OTRAS FORMAS DE ACTINOMICOSIS,A42,I,A4,A,0,999
A429,ACTINOMICOSIS SIN OTRA ESPECIFICACION,A42,I,A4,A,0,999
A430,NOCARDIOSIS PULMONAR,A43,I,A4,A,0,999
A431,NOCARDIOSIS CUTANEA,A43,I,A4,A,0,999
A438,OTRAS FORMAS DE NOCARDIOSIS,A43,I,A4,A,0,999
A439,NORCARDIOSIS  NO ESPECIFICADA,A43,I,A4,A,0,999
A440,BARTONELOSIS SISTEMICA,A44,I,A4,A,0,999
A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA,A44,I,A4,A,0,999
A448,OTRAS FORMAS DE BARTONELOSIS,A44,I,A4,A,0,999
A449,BARTONELOSIS NO ESPECIFICADA,A44,I,A4,A,0,999
A46X,ERISIPELA,A46,I,A4,A,0,999
A480,GANGRENA GASEOSA,A48,I,A4,A,0,999
A481,ENFERMEDAD DE LOS LEGIONARIOS,A48,I,A4,A,0,999
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC],A48,I,A4,A,0,999
A483,SINDROME DE CHOQUE TOXICO,A48,I,A4,A,0,999
A484,FIEBRE PURPURICA BRASILEÑA,A48,I,A4,A,0,999
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,A48,I,A4,A,0,999
A490,INFECCION ESTAFILOCOCICA SIN OTRA ESPECIFICACIÓN,A49,I,A4,A,0,999
A491,INFECCION ESTREPTOCOCICA SIN OTRA ESPECIFICACION,A49,I,A4,A,0,999
A492,INFECCION POR HAEMOPHILUS INFLUENZAE SIN OTRA ESPECIFICACION,A49,I,A4,A,0,999
A493,INFECCION POR MICOPLASMA SIN OTRA ESPECIFICACION,A49,I,A4,A,0,999
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,A49,I,A4,A,0,999
A499,INFECCION BACTERIANA NO ESPECIFICADA,A49,I,A4,A,0,999
A500,SIFILIS CONGENITA PRECOZ SINTOMATICA,A50,I,A5,A,0,999
A501,SIFILIS CONGENITA PRECOZ LATENTE,A50,I,A5,A,0,999
A502,SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN,A50,I,A5,A,0,999
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,A50,I,A5,A,2,999
A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],A50,I,A5,A,2,999
A505,OTRAS FORMAS DE SIFILIS CONGENITA TARDIA SINTOMATICA,A50,I,A5,A,2,999
A506,SIFILIS CONGENITA TARDIA LATENTE,A50,I,A5,A,2,999
A507,SIFILIS CONGENITA TARDIA SIN OTRA ESPECIFICACION,A50,I,A5,A,2,999
A509,SIFILIS CONGENITA SIN OTRA ESPECIFICACIÓN,A50,I,A5,A,0,999
A510,SIFILIS GENITAL PRIMARIA,A51,I,A5,A,0,999
A511,SIFILIS PRIMARIA ANAL,A51,I,A5,A,0,999
A512,SIFILIS PRIMARIA EN OTROS SITIOS,A51,I,A5,A,0,999
A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,A51,I,A5,A,2,999
A514,OTRAS SIFILIS SECUNDARIAS,A51,I,A5,A,2,999
A515,SIFILIS PRECOZ LATENTE,A51,I,A5,A,2,999
A519,SIFILIS PRECOZ SIN OTRA ESPECIFICACIÓN,A51,I,A5,A,2,999
A520,SIFILIS CARDIOVASCULAR,A52,I,A5,A,2,999
A521,NEUROSIFILIS SINTOMATICA,A52,I,A5,A,2,999
A522,NEUROSIFILIS ASINTOMATICA,A52,I,A5,A,2,999
A523,NEUROSIFILIS NO ESPECIFICADA,A52,I,A5,A,2,999
A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,A52,I,A5,A,2,999
A528,SIFILIS TARDIA LATENTE,A52,I,A5,A,2,999
A529,SIFILIS TARDIA NO ESPECIFICADA,A52,I,A5,A,2,999
A530,SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA,A53,I,A5,A,2,999
A539,SIFILIS NO ESPECIFICADA,A53,I,A5,A,2,999
A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA,A54,I,A5,A,0,999
A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS,A54,I,A5,A,0,999
A542,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS,A54,I,A5,A,0,999
A543,INFECCION GONOCOCICA DEL OJO,A54,I,A5,A,0,999
A544,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR,A54,I,A5,A,0,999
A545,FARINGITIS GONOCOCICA,A54,I,A5,A,0,999
A546,INFECCION GONOCOCICA DEL ANO Y DEL RECTO,A54,I,A5,A,0,999
A548,OTRAS INFECCIONES GONOCOCICAS,A54,I,A5,A,0,999
A549,INFECCION GONOCOCICA NO ESPECIFICADA,A54,I,A5,A,0,999
A55X,LINFOGRANULOMA VENEREO POR CLAMIDIAS,A55,I,A5,A,0,999
A560,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS,A56,I,A5,A,0,999
A561,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS,A56,I,A5,A,0,999
A562,INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS SIN OTRA ESPECIFICACION,A56,I,A5,A,0,999
A563,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS,A56,I,A5,A,0,999
A564,INFECCION DE FARINGE DEBIDA A CLAMIDIAS,A56,I,A5,A,0,999
A568,INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS,A56,I,A5,A,0,999
A57X,CHANCRO BLANDO,A57,I,A5,A,0,999
A58X,GRANULOMA INGUINAL,A58,I,A5,A,0,999
A590,TRICOMONIASIS UROGENITAL,A59,I,A5,A,0,999
A598,TRICOMONIASIS DE OTROS SITIOS,A59,I,A5,A,0,999
A599,TRICOMONIASIS NO ESPECIFICADA,A59,I,A5,A,0,999
A600,INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE],A60,I,A6,A,0,999
A601,INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE,A60,I,A6,A,0,999
A609,INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION,A60,I,A6,A,0,999
A630,VERRUGAS VENEREAS ANOGENITALES,A63,I,A6,A,0,999
A638,OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL ESPECIFICADAS,A63,I,A6,A,0,999
A64X,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA,A64,I,A6,A,0,999
A65X,SIFILIS NO VENEREA,A65,I,A6,A,0,999
A660,LESIONES INICIALES DE FRAMBESIA,A66,I,A6,A,0,999
A661,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO,A66,I,A6,A,0,999
A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA,A66,I,A6,A,0,999
A663,HIPERQUERATOSIS DE FRAMBESIA,A66,I,A6,A,0,999
A664,GOMA Y ULCERAS DE FRAMBESIA,A66,I,A6,A,0,999
A665,GANGOSA,A66,I,A6,A,0,999
A666,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES,A66,I,A6,A,0,999
A667,OTRAS MANIFESTACIONES DE FRAMBESIA,A66,I,A6,A,0,999
A668,FRAMBESIA LATENTE,A66,I,A6,A,0,999
A669,FRAMBESIA  NO ESPECIFICADA,A66,I,A6,A,0,999
A670,LESIONES PRIMARIAS DE LA PINTA,A67,I,A6,A,0,999
A671,LESIONES INTERMEDIAS DE LA PINTA,A67,I,A6,A,0,999
A672,LESIONES TARDIAS DE LA PINTA,A67,I,A6,A,0,999
A673,LESIONES MIXTAS DE LA PINTA,A67,I,A6,A,0,999
A679,PINTA NO ESPECIFICADA,A67,I,A6,A,0,999
A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS,A68,I,A6,A,0,999
A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS,A68,I,A6,A,0,999
A689,FIEBRE RECURRENTE NO ESPECIFICADA,A68,I,A6,A,0,999
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE,A69,I,A6,A,0,999
A691,OTRAS INFECCIONES DE VICENT,A69,I,A6,A,0,999
A692,ENFERMEDAD DE LYME,A69,I,A6,A,0,999
A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS,A69,I,A6,A,0,999
A699,INFECCION POR ESPIROQUETA NO ESPECIFICADA,A69,I,A6,A,0,999
A70X,INFECCION DEBIDA A CHLAMYDIA PSITTACI,A70,I,A7,A,0,999
A710,ESTADO INICIAL DE TRACOMA,A71,I,A7,A,0,999
A711,ESTADO ACTIVO DE TRACOMA,A71,I,A7,A,0,999
A719,TRACOMA NO ESPECIFICADO,A71,I,A7,A,0,999
A740,CONJUNTIVITIS POR CLAMIDIAS H131*,A74,I,A7,A,0,999
A748,OTRAS ENFERMEDADES POR CLAMIDIAS,A74,I,A7,A,0,999
