tipo_entidad,tipo_identificacion,num_identificacion,cod_eapb,nombre,cod_mpio
2,MU,05659,05659,Municipal de SAN JUAN DE URABA,05659
2,MU,05660,05660,Municipal de SAN LUIS,05660
2,MU,05664,05664,Municipal de SN PEDRO DE LOS MILAGROS,05664
2,MU,05665,05665,Municipal de SAN PEDRO DE URABA,05665
2,MU,05667,05667,Municipal de SAN RAFAEL,05667
2,MU,05670,05670,Municipal de SAN ROQUE,05670
2,MU,05674,05674,Municipal de SAN VICENTE,05674
2,MU,05679,05679,Municipal de SANTA BARBARA,05679
2,MU,05686,05686,Municipal de SANTA ROSA DE OSOS,05686
2,MU,05690,05690,Municipal de SANTO DOMINGO,05690
2,MU,05697,05697,Municipal de SANTUARIO,05697
2,MU,05736,05736,Municipal de SEGOVIA,05736
2,MU,05756,05756,Municipal de SONSON,05756
2,MU,05761,05761,Secretaria de SOPETRAN,05761
2,MU,05789,05789,Municipal de TAMESIS,05789
2,MU,05790,05790,Secretaria de TARAZA,05790
2,MU,05792,05792,Municipal de TARSO,05792
2,MU,05809,05809,Municipal de TITIRIBI,05809
2,MU,05819,05819,Municipal de TOLEDO,05819
2,MU,05837,05837,Municipal de TURBO,05837
2,MU,05842,05842,Municipal de URAMITA,05842
2,MU,05847,05847,Municipal de URRAO,05847
2,MU,05854,05854,Municipal de VALDIVIA,05854
2,MU,05856,05856,Municipal de VALPARAISO,05856
2,MU,05858,05858,Municipal de VEGACHI,05858
2,MU,05861,05861,Municipal de VENECIA,05861
2,MU,05873,05873,Secretaria de VIGIA DEL FUERTE,05873
2,MU,05368,05368,Municipal de JERICO,05368
2,MU,05890,05890,Municipal de YOLOMBO,05890
2,MU,05893,05893,Municipal de YONDO,05893
2,MU,05895,05895,Municipal de ZARAGOZA,05895
2,DE,08,08000,SECRETARIA DEPARTAMENTAL DE SALUD DEL ATLANTICO,08000
2,MU,08078,08078,Municipal de BARANOA,08078
2,MU,08137,08137,Municipal de CAMPO DE LA CRUZ,08137
2,MU,08141,08141,Municipal de CANDELARIA,08141
2,MU,08296,08296,Municipal de GALAPA,08296
2,MU,08372,08372,Secretaria de JUAN DE ACOSTA,08372
2,MU,08421,08421,Municipal de LURUACO,08421
2,MU,08433,08433,Municipal de MALAMBO,08433
2,MU,08436,08436,Municipal de MANATi,08436
2,MU,08520,08520,Municipal de PALMAR DE VARELA,08520
2,MU,08549,08549,Secretaria de PIOJO,08549
2,MU,08558,08558,Municipal de POLONUEVO,08558
2,MU,08560,08560,Secretaria de PONEDERA,08560
2,MU,08573,08573,Municipal de PUERTO COLOMBIA,08573
2,MU,08606,08606,Municipal de REPELoN,08606
S,NI,SD,EPSS34,CAPITAL SALUD,0
2,MU,08634,08634,Municipal de SABANAGRANDE,08634
2,MU,08638,08638,Municipal de SABANALARGA,08638
2,MU,08675,08675,Secretaria de SANTA LUCIA,08675
2,MU,08685,08685,Secretaria de SANTO TOMAS,08685
2,MU,08758,08758,Municipal de SOLEDAD,08758
2,MU,08770,08770,Municipal de SUAN,08770
2,MU,08832,08832,Secretaria de TUBARA,08832
2,MU,08849,08849,Municipal de USIACURi,08849
2,DI,11,11001,SECRETARIA DISTRITAL DE SALUD DE BOGOTA DC,11001
2,DE,13,13000,INSTITUTO SECCIONAL DE SALUD DE BOLIVAR,13000
2,DI,13001,13001,SECRETARIA DE SALUD DISTRITAL DE CARTAGENA,13001
2,MU,13006,13006,Municipal de ACHi,13006
2,MU,13030,13030,Municipal de ALTOS DEL ROSARIO,13030
2,MU,13042,13042,Municipal de ARENAL,13042
2,MU,13052,13052,Municipal de ARJONA,13052
2,MU,13062,13062,Secretaria de ARROYOHONDO,13062
2,MU,13074,13074,Municipal de BARRANCO DE LOBA,13074
2,MU,13140,13140,Municipal de CALAMAR,13140
2,MU,13160,13160,Secretaria de CANTAGALLO,13160
2,MU,13188,13188,Municipal de CICUCO,13188
2,MU,13212,13212,Secretaria de CORDOBA,13212
2,MU,13222,13222,Secretaria de CLEMENCIA,13222
2,MU,13244,13244,Municipal de EL CARMEN DE BOLiVAR,13244
2,MU,13248,13248,Secretaria de EL GUAMO,13248
2,MU,13268,13268,Municipal de EL PENoN,13268
2,MU,13300,13300,Municipal de HATILLO DE LOBA,13300
2,MU,13430,13430,Municipal de MAGANGUe,13430
2,MU,13433,13433,Municipal de MAHATES,13433
2,MU,13440,13440,Municipal de MARGARITA,13440
2,MU,13442,13442,Secretaria de MARIA LA BAJA,13442
2,MU,13458,13458,Municipal de MONTECRISTO,13458
2,MU,13468,13468,Municipal de MOMPoS,13468
2,MU,13473,13473,Municipal de MORALES,13473
2,MU,13549,13549,Municipal de PINILLOS,13549
2,MU,13580,13580,Secretaria de REGIDOR,13580
2,MU,13600,13600,Municipal de RiO VIEJO,13600
2,MU,13620,13620,Secretaria de SAN CRISTOBAL,13620
2,MU,13647,13647,Municipal de SAN ESTANISLAO,13647
2,MU,13650,13650,Municipal de SAN FERNANDO,13650
2,MU,05887,05887,Municipal de YARUMAL,05887
2,MU,13657,13657,Municipal de SAN JUAN NEPOMUCENO,13657
2,MU,13667,13667,Municipal de SAN MARTiN DE LOBA,13667
2,MU,13670,13670,Municipal de SAN PABLO,13670
2,MU,13673,13673,Municipal de SANTA CATALINA,13673
2,MU,13683,13683,Municipal de SANTA ROSA,13683
2,MU,13688,13688,Municipal de SANTA ROSA DEL SUR,13688
2,MU,13744,13744,Municipal de SIMITi,13744
2,MU,13760,13760,Municipal de SOPLAVIENTO,13760
2,MU,13780,13780,Municipal de TALAIGUA NUEVO,13780
2,MU,13810,13810,Municipal de TIQUISIO,13810
2,MU,13836,13836,Municipal de TURBACO,13836
2,MU,13838,13838,Municipal de TURBANa,13838
2,MU,13873,13873,Secretaria de VILLANUEVA,13873
2,MU,13894,13894,Municipal de ZAMBRANO,13894
2,DE,15,15000,SECRETARIA DEPARTAMENTAN DE SALUD DE BOYACA,15000
2,MU,15001,15001,Secretaria de TUNJA,15001
2,MU,15022,15022,Secretaria de ALMEIDA,15022
2,MU,15047,15047,Secretaria de AQUITANIA,15047
2,MU,15051,15051,Secretaria de ARCABUCO,15051
2,MU,15087,15087,Secretaria de BELEN,15087
2,MU,15090,15090,Secretaria de BERBEO,15090
2,MU,15092,15092,Secretaria de BETEITIVA,15092
2,MU,15097,15097,Secretaria de BOAVITA,15097
2,MU,15104,15104,Secretaria de BOYACA,15104
2,MU,15106,15106,Secretaria de BRICENO,15106
2,MU,15109,15109,Secretaria de BUENAVISTA,15109
2,MU,15114,15114,Secretaria de BUSBANZA,15114
2,MU,15131,15131,Secretaria de CALDAS,15131
2,MU,15135,15135,Secretaria de CAMPOHERMOSO,15135
2,MU,15162,15162,Secretaria de CERINZA,15162
2,MU,15172,15172,Secretaria de CHINAVITA,15172
2,MU,15176,15176,Secretaria de CHIQUINQUIRA,15176
2,MU,15180,15180,Secretaria de CHISCAS,15180
2,MU,15183,15183,Secretaria de CHITA,15183
2,MU,15185,15185,Secretaria de CHITARAQUE,15185
2,MU,15187,15187,Secretaria de CHIVATA,15187
2,MU,15189,15189,Secretaria de CIENAGA,15189
2,MU,15204,15204,Secretaria de COMBITA,15204
2,MU,15212,15212,Secretaria de COPER,15212
2,MU,15215,15215,Secretaria de CORRALES,15215
2,MU,15218,15218,Secretaria de COVARACHIA,15218
2,MU,15223,15223,Secretaria de CUBARA,15223
2,MU,15224,15224,Secretaria de CUCAITA,15224
2,MU,15226,15226,Secretaria de CUITIVA,15226
2,MU,15232,15232,Secretaria de CHIQUIZA,15232
2,MU,15236,15236,Secretaria de CHIVOR,15236
2,MU,15238,15238,Secretaria de DUITAMA,15238
2,MU,15244,15244,Secretaria de EL COCUY,15244
2,MU,15248,15248,Secretaria de EL ESPINO,15248
2,MU,15272,15272,Secretaria de FIRAVITOBA,15272
2,MU,15276,15276,Secretaria de FLORESTA,15276
2,MU,15293,15293,Secretaria de GACHANTIVA,15293
2,MU,15296,15296,Secretaria de GAMEZA,15296
2,MU,15299,15299,Secretaria de GARAGOA,15299
2,MU,15317,15317,Secretaria de GUACAMAYAS,15317
2,MU,15322,15322,Secretaria de GUATEQUE,15322
2,MU,15325,15325,Secretaria de GUAYATA,15325
2,MU,15332,15332,Secretaria de GICAN,15332
2,MU,13655,13655,Municipal de SAN JACINTO DEL CAUCA,13655
2,MU,15368,15368,Secretaria de JERICO,15368
2,MU,15377,15377,Secretaria de LABRANZAGRANDE,15377
2,MU,15380,15380,Secretaria de LA CAPILLA,15380
2,MU,15401,15401,Secretaria de LA VICTORIA,15401
2,MU,15403,15403,Secretaria de LA UVITA,15403
2,MU,15407,15407,Secretaria de VILLA de leyva,15407
2,MU,15425,15425,Secretaria de MACANAL,15425
2,MU,15442,15442,Secretaria de MARIPI,15442
2,MU,15455,15455,Secretaria de MIRAFLORES,15455
2,MU,15464,15464,Secretaria de MONGUA,15464
2,MU,15466,15466,Secretaria de MONGUI,15466
2,MU,15469,15469,Secretaria de MONIQUIRA,15469
2,MU,15476,15476,Secretaria de MOTAVITA,15476
2,MU,15480,15480,Secretaria de MUZO,15480
2,MU,15491,15491,Secretaria de NOBSA,15491
2,MU,15494,15494,Secretaria de NUEVO COLON,15494
2,MU,15500,15500,Secretaria de OICATA,15500
2,MU,15507,15507,Secretaria de OTANCHE,15507
2,MU,15511,15511,Secretaria de PACHAVITA,15511
2,MU,15514,15514,Secretaria de PAEZ,15514
2,MU,15516,15516,Secretaria de PAIPA,15516
2,MU,15518,15518,Secretaria de PAJARITO,15518
2,MU,15522,15522,Secretaria de PANQUEBA,15522
2,MU,15531,15531,Municipal de PAUNA,15531
2,MU,15533,15533,Secretaria de PAYA,15533
2,MU,15537,15537,Secretaria de PAZ DE RIO,15537
2,MU,15542,15542,Secretaria de PESCA,15542
2,MU,15550,15550,Secretaria de PISBA,15550
2,MU,15572,15572,Secretaria de PUERTO BOYACA,15572
2,MU,15580,15580,Municipal de QUiPAMA,15580
2,MU,15599,15599,Secretaria de RAMIRIQUI,15599
2,MU,15600,15600,Secretaria de RAQUIRA,15600
2,MU,15621,15621,Secretaria de RONDON,15621
2,MU,15632,15632,Secretaria de SABOYA,15632
2,MU,15638,15638,Secretaria de SACHICA,15638
2,MU,15646,15646,Secretaria de SAMACA,15646
2,MU,15660,15660,Secretaria de SAN EDUARDO,15660
2,MU,15664,15664,Secretaria de SAN JOSE DE PARE,15664
2,MU,15667,15667,Secretaria de SAN LUIS DE GACENO,15667
2,MU,15673,15673,Secretaria de SAN MATEO,15673
2,MU,15676,15676,Secretaria de SAN MIGUEL DE SEMA,15676
2,MU,15681,15681,Secretaria de SAN PABLO DE BORBUR,15681
2,MU,15686,15686,Secretaria de SANTANA,15686
2,MU,15690,15690,Secretaria de SANTA MARIA,15690
2,MU,15693,15693,Secretaria de SANTA ROSA DE VITERBO,15693
2,MU,15696,15696,Secretaria de SANTA SOFIA,15696
2,MU,15720,15720,Secretaria de SATIVANORTE,15720
2,MU,15723,15723,Secretaria de SATIVASUR,15723
2,MU,15740,15740,Secretaria de SIACHOQUE,15740
2,MU,15753,15753,Secretaria de SOATA,15753
2,MU,15755,15755,Secretaria de SOCOTA,15755
2,MU,15757,15757,Secretaria de SOCHA,15757
2,MU,15759,15759,Secretaria de SOGAMOSO,15759
2,MU,15761,15761,Secretaria de SOMONDOCO,15761
2,MU,15762,15762,Secretaria de SORA,15762
2,MU,15763,15763,Secretaria de SOTAQUIRA,15763
2,MU,15764,15764,Secretaria de SORACA,15764
2,MU,15774,15774,Secretaria de SUSACON,15774
2,MU,15367,15367,Secretaria de JENESANO,15367
2,MU,15790,15790,Secretaria de TASCO,15790
2,MU,15798,15798,Secretaria de TENZA,15798
2,MU,15804,15804,Secretaria de TIBANA,15804
2,MU,15806,15806,Secretaria de TIBASOSA,15806
2,MU,15808,15808,Secretaria de TINJACA,15808
2,MU,15810,15810,Secretaria de TIPACOQUE,15810
2,MU,15814,15814,Secretaria de TOCA,15814
2,MU,15816,15816,Secretaria de TOGI,15816
2,MU,15820,15820,Secretaria de TOPAGA,15820
2,MU,15822,15822,Secretaria de TOTA,15822
2,MU,15832,15832,Secretaria de TUNUNGUA,15832
2,MU,15835,15835,Secretaria de TURMEQUE,15835
2,MU,15837,15837,Secretaria de TUTA,15837
2,MU,15839,15839,Secretaria de TUTAzA,15839
2,MU,15842,15842,Secretaria de UMBITA,15842
2,MU,15861,15861,Municipal de VENTAQUEMADA,15861
2,MU,15879,15879,Secretaria de VIRACACHA,15879
2,MU,15897,15897,Secretaria de ZETAQUIRA,15897
2,DE,17,17000,DIRECCION SECCIONAL DE SALUD DE CALDAS,17000
2,MU,17001,17001,Secretaria de Salud Municipal de MANIZALES,17001
2,MU,17013,17013,Municipal de AGUADAS,17013
2,MU,17042,17042,Municipal de ANSERMA,17042
2,MU,17050,17050,Secretaria de ARANZAZU,17050
2,MU,17088,17088,Municipal de BELALCaZAR,17088
2,MU,17174,17174,Municipal de CHINCHINa,17174
2,MU,17272,17272,Municipal de FILADELFIA,17272
2,MU,17380,17380,Municipal de LA DORADA,17380
2,MU,17388,17388,Municipal de LA MERCED,17388
2,MU,17433,17433,Municipal de MANZANARES,17433
2,MU,17442,17442,Secretaria de MARMATO,17442
2,MU,17444,17444,Secretaria de MARQUETALIA,17444
2,MU,17446,17446,Secretaria de MARULANDA,17446
2,MU,17486,17486,Secretaria de NEIRA,17486
2,MU,17495,17495,Secretaria de NORCASIA,17495
2,MU,17513,17513,Municipal de PaCORA,17513
2,MU,17524,17524,Municipal de PALESTINA,17524
2,MU,17541,17541,Municipal de PENSILVANIA,17541
2,MU,17614,17614,Municipal de RIOSUCIO,17614
2,MU,17616,17616,Secretaria de RISARALDA,17616
2,MU,17653,17653,Secretaria de SALAMINA,17653
2,MU,17662,17662,Secretaria de SAMANA,17662
2,MU,17665,17665,Secretaria de SAN JOSE,17665
2,MU,17777,17777,Secretaria de SUPIA,17777
2,MU,17867,17867,Secretaria de VICTORIA,17867
2,MU,17873,17873,Secretaria de VILLAMARIA,17873
2,MU,17877,17877,Municipal de VITERBO,17877
2,DE,18,18000,DIRECCION INSTITUTO DEPARTAMENTAL DE SALUD,18000
2,MU,18001,18001,Secretaria Municipal de Salud de Florencia,18001
2,MU,18029,18029,Secretaria de ALBANIA,18029
2,MU,18094,18094,Secretaria de BELEN de los ANDAQUIES,18094
2,MU,18150,18150,Secretaria de CARTAGENA DEL CHAIRA,18150
2,MU,18205,18205,Secretaria de CURILLO,18205
2,MU,18247,18247,Secretaria de EL DONCELLO,18247
2,MU,18256,18256,Secretaria de EL PAUJIL,18256
2,MU,18410,18410,Secretaria de LA MONTANITA,18410
2,MU,18460,18460,Secretaria de MILAN,18460
2,MU,18479,18479,Secretaria de MORELIA,18479
2,MU,18592,18592,Secretaria de PUERTO RICO,18592
2,MU,15778,15778,Secretaria de SUTATENZA,15778
2,MU,18756,18756,Secretaria de SOLANO,18756
2,MU,18785,18785,Secretaria de SOLITA,18785
2,MU,18860,18860,Secretaria de VALPARAISO,18860
2,MU,19000,19000,DIRECCION DEPARTAMENTAL DE SALUD,19000
2,DE,19,19001,Secretaria Municipal de Salud de Popayan,19001
2,MU,19022,19022,Secretaria de ALMAGUER,19022
2,MU,19050,19050,Secretaria de ARGELIA,19050
2,MU,19075,19075,Secretaria de BALBOA,19075
2,MU,19100,19100,Secretaria de BOLIVAR,19100
2,MU,19110,19110,Secretaria de BUENOS AIRES,19110
2,MU,19130,19130,Secretaria de CAJIBIO,19130
2,MU,19137,19137,Secretaria de CALDONO,19137
2,MU,19142,19142,Secretaria de CALOTO,19142
2,MU,19212,19212,Secretaria de CORINTO,19212
2,MU,19256,19256,Secretaria de EL TAMBO,19256
2,MU,19290,19290,Secretaria de FLORENCIA,19290
2,MU,19300,19300,Secretaria de GUACHENE,19300
2,MU,19318,19318,Secretaria de GUAPI,19318
2,MU,19355,19355,Secretaria de INZA,19355
2,MU,19364,19364,Secretaria de JAMBALO,19364
2,MU,19392,19392,Secretaria de LA SIERRA,19392
2,MU,19397,19397,Secretaria de LA VEGA,19397
2,MU,19418,19418,Secretaria de LOPEZ,19418
2,MU,19450,19450,Secretaria de MERCADERES,19450
2,MU,19455,19455,Secretaria de MIRANDA,19455
2,MU,19473,19473,Secretaria de MORALES,19473
2,MU,19513,19513,Secretaria de PADILLA,19513
2,MU,19532,19532,Municipal de PATiA,19532
2,MU,19533,19533,Secretaria de PIAMONTE,19533
2,MU,19548,19548,Secretaria de PIENDAMO,19548
2,MU,19573,19573,Secretaria de PUERTO TEJADA,19573
2,MU,19585,19585,Secretaria de PURACE,19585
2,MU,19622,19622,Secretaria de ROSAS,19622
2,MU,19693,19693,Secretaria de SAN SEBASTIAN,19693
2,MU,19698,19698,Secretaria de SANTANDER DE QUILICHAO,19698
2,MU,19701,19701,Secretaria de SANTA ROSA,19701
2,MU,19743,19743,Secretaria de SILVIA,19743
2,MU,19760,19760,Secretaria de SOTARA,19760
2,MU,19780,19780,Secretaria de SUAREZ,19780
2,MU,19785,19785,Secretaria de SUCRE,19785
2,MU,19807,19807,Municipal de TIMBio,19807
2,MU,19809,19809,Secretaria de TIMBIQUI,19809
2,MU,19821,19821,Secretaria de TORIBIO,19821
2,MU,19824,19824,Secretaria de TOTORO,19824
2,MU,19845,19845,Secretaria de VILLA RICA,19845
2,DE,20,20000,SECRETARIA DEPARTAMENTAL DE SALUD,20000
2,MU,20001,20001,Secretaria de Salud Municipal de VALLEDUPAR,20001
2,MU,20011,20011,Municipal de AGUACHICA,20011
2,MU,20013,20013,Municipal de AGUSTiN CODAZZI,20013
2,MU,20032,20032,Municipal de ASTREA,20032
2,MU,20045,20045,Municipal de BECERRIL,20045
2,MU,20060,20060,Municipal de BOSCONIA,20060
2,MU,20175,20175,Municipal de CHIMICHAGUA,20175
2,MU,20178,20178,Secretaria de CHIRIGUANA,20178
2,MU,20228,20228,Secretaria de CURUMANI,20228
2,MU,20238,20238,Municipal de EL COPEY,20238
2,MU,20250,20250,Municipal de EL PASO,20250
2,MU,20295,20295,Municipal de GAMARRA,20295
2,MU,18753,18753,Secretaria de SAN VICENTE DEL CAGUAN,18753
2,MU,20400,20400,Municipal de LA JAGUA de IBIRiCO,20400
2,MU,20443,20443,Municipal de MANAURE,20443
2,MU,20517,20517,Municipal de PAILITAS,20517
2,MU,20550,20550,Municipal de PELAYA,20550
2,MU,20570,20570,Secretaria de PUEBLO BELLO,20570
2,MU,20614,20614,Municipal de RiO DE ORO,20614
2,MU,20621,20621,Municipal de la paz,20621
2,MU,20710,20710,Municipal de SAN ALBERTO,20710
2,MU,20750,20750,Municipal de SAN DIEGO,20750
2,MU,20770,20770,Municipal de SAN MARTIN,20770
2,MU,20787,20787,Municipal de TAMALAMEQUE,20787
2,DE,23,23000,GOBERNACION DE CORDOBA  SECRETARIA DE DESARROLLO DE LA SALUD,23000
2,MU,23001,23001,Secretaria de Salud Municipal de Monteria,23001
2,MU,23068,23068,Municipal de AYAPEL,23068
2,MU,23079,23079,Municipal de BUENAVISTA,23079
2,MU,23090,23090,Municipal de CANALETE,23090
2,MU,23162,23162,Municipal de CERETe,23162
2,MU,23168,23168,Municipal de CHIMa,23168
2,MU,23182,23182,Municipal de CHINu,23182
2,MU,23189,23189,Secretaria de CIENAGA DE ORO,23189
2,MU,23300,23300,Municipal de COTORRA,23300
2,MU,23350,23350,Secretaria de LA APARTADA,23350
2,MU,23417,23417,Municipal de LORICA,23417
2,MU,23419,23419,Secretaria de LOS CORDOBAS,23419
2,MU,23464,23464,Municipal de MOMIL,23464
2,MU,23466,23466,Municipal de MONTELiBANO,23466
2,MU,23500,23500,Secretaria de MONITOS,23500
2,MU,23555,23555,Municipal de PLANETA RICA,23555
2,MU,23570,23570,Municipal de PUEBLO NUEVO,23570
2,MU,23574,23574,Municipal de PUERTO ESCONDIDO,23574
2,MU,23580,23580,Municipal de PUERTO LIBERTADOR,23580
2,MU,23586,23586,Municipal de PURiSIMA,23586
2,MU,23660,23660,Municipal de SAHAGuN,23660
2,MU,23670,23670,Municipal de SAN ANDReS SOTAVENTO,23670
2,MU,23672,23672,Municipal de SAN ANTERO,23672
2,MU,23675,23675,Municipal de SAN BERNARDO del VIENTO,23675
2,MU,23678,23678,Secretaria de SAN CARLOS,23678
2,MU,23686,23686,Municipal de SAN PELAYO,23686
2,MU,23807,23807,Municipal de TIERRALTA,23807
2,MU,23855,23855,Municipal de VALENCIA,23855
2,DE,25,25000,SECRETARIA DEPARTAMENTAL DE SALUD,25000
2,MU,25001,25001,Secretaria de AGUA DE DIOS,25001
2,MU,25019,25019,Secretaria de ALBAN,25019
2,MU,25035,25035,Secretaria de ANAPOIMA,25035
2,MU,25040,25040,Secretaria de ANOLAIMA,25040
2,MU,25053,25053,Secretaria de ARBELAEZ,25053
2,MU,25086,25086,Secretaria de BELTRAN,25086
2,MU,25095,25095,Secretaria de BITUIMA,25095
2,MU,25099,25099,Secretaria de BOJACA,25099
2,MU,25120,25120,Secretaria de CABRERA,25120
2,MU,25123,25123,Secretaria de CACHIPAY,25123
2,MU,25126,25126,Municipal de CAJICa,25126
2,MU,25148,25148,Secretaria de CAPARRAPI,25148
2,MU,25151,25151,Secretaria de CAQUEZA,25151
2,MU,25154,25154,Secretaria de CARMEN DE CARUPA,25154
2,MU,25168,25168,Secretaria de CHAGUANI,25168
2,MU,25175,25175,Secretaria de CHIA,25175
2,MU,20383,20383,Municipal de LA GLORIA,20383
2,MU,25183,25183,Secretaria de CHOCONTA,25183
2,MU,25200,25200,Secretaria de COGUA,25200
2,MU,25214,25214,Secretaria de COTA,25214
2,MU,25224,25224,Municipal de CUCUNUBa,25224
2,MU,25245,25245,Secretaria de EL COLEGIO,25245
2,MU,25258,25258,Municipal de EL PENoN,25258
2,MU,25260,25260,Secretaria de EL ROSAL,25260
2,MU,25269,25269,Secretaria de FACATATIVA,25269
2,MU,25279,25279,Secretaria de FOMEQUE,25279
2,MU,25281,25281,Municipal de FOSCA,25281
2,MU,25286,25286,Secretaria de FUNZA,25286
2,MU,25288,25288,Secretaria de FUQUENE,25288
2,MU,25290,25290,Secretaria de FUSAGASUGA,25290
2,MU,25293,25293,Secretaria de GACHALA,25293
2,MU,25295,25295,Secretaria de GACHANCIPA,25295
2,MU,25297,25297,Secretaria de GACHETA,25297
2,MU,25299,25299,Secretaria de GAMA,25299
2,MU,25307,25307,Secretaria de GIRARDOT,25307
2,MU,25312,25312,Secretaria de GRANADA,25312
2,MU,25317,25317,Secretaria de GUACHETA,25317
2,MU,25320,25320,Secretaria de GUADUAS,25320
2,MU,25322,25322,Secretaria de GUASCA,25322
2,MU,25324,25324,Secretaria de GUATAQUI,25324
2,MU,25326,25326,Secretaria de GUATAVITA,25326
2,MU,25328,25328,Secretaria de GUAYABAL DE SIQUIMA,25328
