CODIGO CUPS,DESCRIPCION DEL PROCEDIMIENTO,Codigo Sistema CUPS,,Codigo Grupo CUPS,,Codigo Ambito CUPS,Codigo Sexo CUPS,Codigo Nivel Atencion
011304,BIOPSIA ESTEREOTAXICA DE CEREBRO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012100,INCISION Y DRENAJE DE SENO FRONTAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012101,CRANEALIZACION DE SENO FRONTAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012200,EXTRACCION DE NEUROESTIMULADOR INTRACRANEAL SOD +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012300,REAPERTURA DE CRANEOTOMIA SOD,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012400,CRANEOTOMIA DESCOMPRESIVAEXPLORATORIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012401,DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012402,DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012410,EXTRACCION DE CUERPO EXTRAnO INTRACRANEAL POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012500,CRANIECTOMIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012501,SECUESTRECTOMIA DE CRANEO POR CRANIECTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012502,DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL POR CRANIECTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
012503,DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR POR CRANIECTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013100,INCISION DE MENINGES CEREBRALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013101,DRENAJE DE ESPACIO SUBDURAL POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013102,DRENAJE DE ESPACIO SUBDURAL POR TREPANACION,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013103,DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR POR CRANIECTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013104,DRENAJE DE ESPACIO SUBDURAL POR DRENAJE EXTERNO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013105,DRENAJE DE ESPACIO SUBARACNOIDEO POR DERIVACION CISTO PERITONEAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013106,DRENAJE DE ESPACIO SUBDURAL POR DERIVACION SUBDURO PERITONEAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013200,SECCION DE TEJIDO CEREBRAL TRACTOS CEREBRALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013201,SECCION DE TEJIDO CEREBRAL TRACTOS CEREBRALES POR ABLACION TERMOLESION ESTEREOTAXICA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
013202,SECCION DE TEJIDO CEREBRAL TRACTOS CEREBRALES POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
014100,TALAMOTOMIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
014101,TALAMOTOMIA POR ESTEREOTAXIA ESTIMULACION YO ABLACION DE UNO DE SUS NUCLEOS,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
014200,PALIDOTOMIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
014201,PALIDOTOMIA POR ESTEREOTAXIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
015100,ESCISION DE LESION CRANEAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
015101,RESECCION TUMOR OSEO POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
015102,RESECCION TUMOR OSEO POR CRANIECTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
015200,RESECCION DE TUMORES DE LA BASE DEL CRANEO FOSA ANTERIOR SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015201,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA ANTERIOR VIA CRANEOFACIAL ANTERIOR +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015202,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA ANTERIOR VIA CRANEOFACIAL ANTEROLATERAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015203,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA ANTERIOR VIA ANTEROLATERAL Y RINOTOMIA LATERAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015204,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA ANTERIOR VIA TRANSZIGOMATICA Y TRANSPALATAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015300,RESECCION DE TUMORES DE LA BASE DEL CRANEO FOSA MEDIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015301,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015302,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015303,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
015304,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015305,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL EXTENDIDA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015306,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015307,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015308,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL+,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015309,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA POR ORBITOTOMIA LATERAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015310,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015311,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL ENDOSCOPICA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015400,RESECCION DE TUMORES DE LA BASE DEL CRANEO FOSA POSTERIOR SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015401,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA EXTREMO LATERAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015402,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA FRONTO ORBITO ETMOIDAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015403,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSM,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015404,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA TRANSORAL+,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015405,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA MAXILOTOMIA EXTENDIDA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015406,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA TRANSLABERINTICA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015407,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA TRANSCOCLEAR +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015408,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA FOSA MEDIA+,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015409,RESECCION DE TUMOR DE LA BASE DEL CRANEO FOSA POSTERIOR VIA SUBOCCIPITAL RETROMASTOIDEA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
015500,RESECCION DE TEJIDO CRANEAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
015501,TOMA DE INJERTO OSEO DE CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
016100,RESECCION DE TUMORES EN MENINGES CEREBRALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
016101,RESECCION TUMOR DE MENINGE CEREBRAL POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016102,RESECCION TUMOR DE MENINGE CEREBRAL POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016200,RESECCION TUMORES DE LA HOZ SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016201,RESECCION TUMOR DE LA HOZ POR CRANEOTOMIA Y PLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016300,RESECCION TUMORES DEL TENTORIO SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016301,RESECCION TUMOR DEL TENTORIO POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
016400,RESECCION DE OTRA LESION DE MENINGE CEREBRAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017000,DRENAJE DE COLECCIONES INTRACEREBRALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017001,DRENAJE DE COLECCIONES INTRACEREBRALES POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017002,DRENAJE DE COLECCIONES INTRACEREBRALES GUIADO POR ESTEREOTAXIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017003,DRENAJE DE COLECCIONES INTRACEREBRALES POR PUNCION DIRIGIDA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR POR CRANEOTOMIA SUBOCCIPITAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017005,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR GUIADO POR ESTEREOTAXIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017200,RESECCION DE TUMORES SUPRATENTORIALES HEMISFERICOS SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017201,RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017202,RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO POR CRANEOTOMIA OSTEOPLASTICA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017203,RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017204,RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICOCON ESTIMULACION CORTICAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017205,RESECCION VOLUMETRICA DE TUMOR SUPRATENTORIAL HEMISFERICO CON ESTEREOTAXIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017300,RESECCION TUMORES INFRATENTORIALES HEMISFERICOS SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017301,RESECCION TUMOR I NTRACEREBELOSO POR CRANEOTOMIA SUBOCCIPITAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017400,RESECCION DE TUMORES DE LINEA MEDIA SUPRATENTORIALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017401,RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017500,RESECCION DE TUMORES DE LINEA MEDIA INFRATENTORIALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017501,RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL EXTRA AXIAL POR CRANEOTOMIA SUBOCCIPITAL +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017502,RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL EXTRA AXIAL POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017504,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL EXTRA AXIALES POR CRANEOTOMIA SUBOCCIPITAL +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017505,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL EXTRA AXIALES POR CRANEOTOMIA DE FOSA MEDIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017508,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES TRONCO CEREBRAL POR CRANEOTOMIA SUBOCCIPITAL +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017509,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES TRONCO CEREBRAL POR CRANEOTOMIA SUBTEMPORAL +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
017600,RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017601,RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017603,RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES POR ENDOSCOPIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
017700,RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017701,RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES POR CRANEOTOMIA SUBOCCIPITAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017702,RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES POR ENDOSCOPIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
017800,RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017801,RESECCION DE LESIONES INTRAV ENTICULARES DE LINEA MEDIA POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
017803,RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA POR ENDOSCOPIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
017805,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
018100,HEMISFERECTOMIA CEREBRAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
018200,HEMISFERECTOMIA CEREBELOSA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
019100,LOBECTOMIA POR CRANEOTOMIA SOD +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
019200,LOBECTOMIA POR CRANIECTOMIA SOD +,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
020100,APERTURA DE SUTURA CRANEAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020101,CORRECCION DE CRANEO SINOSTOSIS POR CRANIECTOMIA SIN AVANCES,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020102,CORRECCION DE CRANEO SINOSTOSIS POR CRANIECTOMIA CON AVANCE FRONTAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020103,CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA POR CRANIECTOMIA MULTIPLE,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020104,CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA CON AVANCE FRONTAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020105,CORRECCION DE CRANEO ESTENOSIS CON ALTERACIÓN CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020106,CORRECCION DE CRANEO ESTENOSIS CON ALTERACIÓN CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020107,CORRECCION DE CRANEO ESTENOSIS CON ALTERACIÓN CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020108,CORRECCION DE CRANEO ESTENOSIS CON ALTERACIÓN CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020200,ELEVACION DE FRAGMENTOS DE FRACTURA DE CRANEO ESQUIRLECTOMIA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020201,ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA CONMINUTA DE CRANEO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020203,REDUCCION DE FRACTURA CRANEAL HUNDIMIENTO SIN COMPROMISO DE DURA CON ESQUIRLECTOMIA Y CRANEOPLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020204,REDUCCION DE FRACTURA COMPUESTA CONMINUTA DE CRANEO CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL DESBRIDAMIENTO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020400,INJERTO OSEO EN CRANEO SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020401,CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA CON INJERTO AUTOLOGO O HETEROLOGO +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020500,INSERCION O SUSTITUCION DE PLACA O MALLA CRANEAL METALICA ACRILICA SOD +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020600,OSTEOPLASTIA CRANEAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
020700,EXTRACCION DE PLACA CRANEAL SOD +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
021100,SUTURA SIMPLE DE DURAMADRE CEREBRAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
021101,CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
021102,CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA CON PLASTIA DURAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
021103,CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
021104,CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO CON PLASTIA AUTOLOGA O HETEROLOGA POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
021200,REPARACION DE MENINGES CEREBRALES SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
021201,CORRECCION FISTULA LCR EN BOVEDA CRANEANA POR CRANEOTOMIA Y CRANEOPLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021202,CORRECCION FISTULA LCR EN BOVEDA CRANEANA POR DUROPLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021203,CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR VIA SUBFRONTAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021204,CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR VIA TRANSESFENOIDAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021205,CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR VIA ENDOSCOPICA TRANSNASAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021206,CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO POR CRANIECTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
021207,CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO VIA TRANSESFENOIDAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021208,CORRECCION FISTULA LCR EN BASE DE CRANEO POSTERIOR VIA SUBOCCIPITAL,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021209,CORRECCION DE MENINGOCELE POR CRANIECTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021210,CORRECCION DE MENINGOCELE CON CRANEOPLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021211,CORRECCION DE MENINGOCELE DE FOSA ANTERIOR POR CRANIECTOMIA Y PLASTIA DE MENINGE,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021212,CORRECCION DE MENINGOCELE DE FOSA ANTERIOR CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
021213,CORRECCION DE MENINGOCELE DE FOSA ANTERIOR VIA TRANSNASAL ENDOSCOPICA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
021214,CORRECCION DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON PLASTIA DE MENINGE Y CRANEOPLASTIA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
022100,VENTRICULOSTOMIA INTERNA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,H,A,SD
022101,DERIVACION DE VENTRICULO A CISTERNA MAGNA,1,Sistema Nervioso,11,Proced quirurgicos,H,A,3
022102,CRANEOSTOMIA CON FENESTRACION ENDOSCOPICA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
022103,CRANEOSTOMIA CON FENESTRACION ESTEREOTAXICA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
022200,VENTRICULOSTOMIA EXTERNA SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL TORKILSEN,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
022300,COLOCACION DE CATETER VENTRICULO PERITONEAL SIN VALVULA SOD +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
023200,DERIVACION VENTRICULAR A APARATO CIRCULATORIO SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
023201,DERIVACION VENTRICULOATRIAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
